word_count,hashtags,hour_posted,impressions
75,5,7,1590
172,6,4,3810
417,9,3,6920
47,6,6,1663
402,9,17,6403
211,2,18,4077
337,9,14,5391
362,10,4,6074
58,5,22,1509
45,2,9,1200
106,7,5,2054
235,3,8,3377
436,3,15,6230
419,5,16,6021
425,2,19,5325
120,4,8,2200
410,2,18,5334
179,6,9,3512
302,9,11,4735
179,8,21,3376
438,4,7,5965
263,4,4,3299
241,8,8,4361
59,7,18,1590
314,1,15,4115
390,3,10,6336
214,5,6,3159
61,8,10,1966
90,5,13,1800
178,10,2,3211
353,9,3,4864
376,8,2,5346
225,9,3,3659
381,5,8,5059
378,8,22,5906
280,2,10,4800
255,1,15,4352
38,9,17,1428
297,6,6,4384
57,3,3,2683
292,7,21,4370
356,6,10,5864
190,3,17,3100
321,5,13,4841
75,7,2,1983
60,2,7,462
101,7,11,1708
358,8,2,5914
176,3,0,3372
209,4,16,3563
329,8,23,5018
15,10,2,150
320,7,9,5293
255,3,6,3424
400,1,9,6200
52,6,18,2424
55,8,23,400
234,10,11,3984
193,1,18,2254
308,1,14,4258
212,7,19,3847
378,6,14,5754
49,8,17,2117
259,5,10,4600
91,6,3,1587
86,3,10,2717
389,1,1,4878
340,9,7,5436
103,3,20,2124
154,2,8,2439
222,8,0,3876
117,7,17,3079
312,4,13,4781
139,6,10,3127
350,10,14,5962
404,1,13,5953
160,7,2,3030
98,6,11,3267
291,7,23,5121
355,5,4,4894
221,5,18,3692
315,5,15,4251
374,2,23,4414
214,8,23,3005
210,3,14,3500
321,1,16,4413
440,2,15,5496
340,1,18,5100
348,1,8,4370
117,2,2,2325
208,1,4,2741
197,5,15,3265
162,4,16,2731
219,5,4,3493
246,9,16,4593
347,10,11,6333
340,3,14,4364
206,9,11,4465
89,8,7,2956
346,6,10,4732
